55.1044 	EXP 	image_trial: autoDraw = False
55.1044 	EXP 	image_trial: image = 'imgs/2.jpg'
55.1044 	EXP 	image_trial: autoDraw = True
55.5695 	EXP 	New trial (rep=50, index=0): None
55.6229 	DATA 	Keypress: right
55.6378 	EXP 	image_trial: autoDraw = False
55.6378 	EXP 	image_trial: image = 'imgs/3.jpg'
55.6378 	EXP 	image_trial: autoDraw = True
56.2229 	EXP 	New trial (rep=51, index=0): None
56.2784 	DATA 	Keypress: right
56.2943 	EXP 	image_trial: autoDraw = False
56.2943 	EXP 	image_trial: image = 'imgs/1.jpg'
56.2943 	EXP 	image_trial: autoDraw = True
56.8725 	EXP 	New trial (rep=52, index=0): None
56.9149 	DATA 	Keypress: left
56.9388 	EXP 	image_trial: autoDraw = False
56.9388 	EXP 	image_trial: image = 'imgs/3.jpg'
56.9388 	EXP 	image_trial: autoDraw = True
57.5705 	EXP 	New trial (rep=53, index=0): None
57.9686 	DATA 	Keypress: left
57.9917 	EXP 	image_trial: autoDraw = False
57.9917 	EXP 	image_trial: image = 'imgs/2.jpg'
57.9917 	EXP 	image_trial: autoDraw = True
61.3049 	EXP 	New trial (rep=54, index=0): None
61.3573 	DATA 	Keypress: right
61.3743 	EXP 	image_trial: autoDraw = False
61.3743 	EXP 	image_trial: image = 'imgs/3.jpg'
61.3743 	EXP 	image_trial: autoDraw = True
61.9239 	EXP 	New trial (rep=55, index=0): None
62.3209 	DATA 	Keypress: left
62.3249 	DATA 	Keypress: left
62.3480 	EXP 	image_trial: autoDraw = False
62.3480 	EXP 	image_trial: image = 'imgs/2.jpg'
62.3480 	EXP 	image_trial: autoDraw = True
80.4831 	EXP 	New trial (rep=56, index=0): None
80.5409 	DATA 	Keypress: right
80.5666 	EXP 	image_trial: autoDraw = False
80.5666 	EXP 	image_trial: image = 'imgs/3.jpg'
80.5666 	EXP 	image_trial: autoDraw = True
90.8379 	EXP 	New trial (rep=57, index=0): None
90.8946 	DATA 	Keypress: right
90.9119 	EXP 	image_trial: autoDraw = False
90.9119 	EXP 	image_trial: image = 'imgs/1.jpg'
90.9119 	EXP 	image_trial: autoDraw = True
107.1699 	EXP 	New trial (rep=58, index=0): None
107.5930 	DATA 	Keypress: right
107.6192 	EXP 	image_trial: autoDraw = False
107.6192 	EXP 	image_trial: image = 'imgs/2.jpg'
107.6192 	EXP 	image_trial: autoDraw = True
137.0229 	EXP 	New trial (rep=59, index=0): None
137.0845 	DATA 	Keypress: right
137.1095 	EXP 	image_trial: autoDraw = False
137.1095 	EXP 	image_trial: image = 'imgs/3.jpg'
137.1095 	EXP 	image_trial: autoDraw = True
138.8143 	DATA 	Keypress: escape
139.1542 	EXP 	window1: mouseVisible = True
